type,start_time,name
國際,2019,"Best Paper Award 2019, China Communications, IEEE/CIC International Conference on Communications in China (ICCC 2019), Changchun, China, Aug. 2019."
國內,2019,"Silver Award, The 2019 ICPC Asia Taipei National Contest for Technology Universities (ncTu 2019), Jul. 2019. "
國內,2018,"First Runner-Up, The 53rd Golden Bell Award in Broadcast Radio, Innovative Research and Application Award, Sep. 2018."
國內,2019,"Bronze Award, The 2019 ICPC Asia Taipei National Contest for Technology Universities (ncTu 2019), Jul. 2019. "
國內,2017,"第52屆廣播金鐘獎 創新研發應用獎, 文化部, Sep. 2017. "
國內,2017,"106年度全國大專電腦軟體設計競賽 應用軟體設計組第二名, 教育部, Oct. 2017. "
國內,2015,"104年度全國大專電腦軟體設計競賽 應用軟體設計組第一名, 教育部, Dec. 2015. " 
